,all_virus_meta_GSE79172_MERS_MDC001_3_24,all_virus_meta_GSE79218_MERS_MMVE001_12_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_36,all_virus_mock_meta_GSE68820_SARS_lung_wt_4_7,all_virus_mock_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_2_7,all_virus_mock_meta_GSE79218_MERS_MMVE001_12_48,all_virus_meta_GSE79218_MERS_MMVE001_24_36,all_virus_meta_GSE79172_MERS_MDC001_0_24,all_virus_meta_GSE79172_MERS_MDC001_0_12,all_virus_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_4_7,all_virus_meta_GSE79218_MERS_MMVE001_0_48
LOC286442,0,0,-1.251145986,0,0,0,0,-1.251145986,0,0,0,0,-1.366633987
LOC286467,0,0,0,0,0,0,0,0,0,0,0,0,1.061719584
LOC338579,0,-1.316293026,0,0,0,0,-1.316293026,0,0,0,0,0,-1.82441618
LOC338588,0,0,0,0,0,0,0,0,0,1.221331527,0,0,0
LOC338620,0,1.291595622,-1.27915024,0,0,0,1.291595622,-1.27915024,-1.460006196,-1.256251258,0,0,0
LOC338651,0,0,0,0,0,0,0,-1.166982941,0,0,0,0,0
LOC338667,0,-1.13770486,0,0,0,0,0,0,0,0,0,0,-1.244889991
LOC338694,0,-1.184324955,0,0,0,0,0,0,0,0,0,0,-1.278012017
LOC338739,0,-1.128155983,0,0,0,0,0,0,0,1.303136648,0,0,-1.334286799
LOC338758,0,1.123293535,0,0,0,0,0,0,0,-1.230006146,0,0,0
LOC338797,-1.465914108,-1.990769136,-1.451534046,0,0,0,-1.990769136,-1.451534046,-1.865636775,-1.877861095,0,0,-2.348857286
LOC338799,1.504086679,-1.695696454,0,0,0,0,-1.695696454,0,1.246717997,0,0,0,-1.503723147
LOC338817,1.953017925,-1.644364086,0,0,0,0,-1.644364086,-1.146035394,1.774816751,1.478684107,0,0,-1.990580364
LOC338963,0,-1.16741943,0,0,0,0,0,0,0,0,0,0,-1.489751352
LOC339240,1.638748273,-1.124994681,0,0,0,0,-1.124994681,0,1.44399674,0,0,0,1.133059436
LOC339260,0,1.076604507,0,0,0,0,1.076604507,0,0,0,0,0,0
LOC339316,0,-1.053194147,-1.260817849,0,0,0,-1.053194147,-1.260817849,0,1.121790876,0,0,1.181338181
LOC339352,0,0,0,0,0,0,0,-1.349424921,0,0,0,0,1.231178512
LOC339400,0,-1.249227608,0,0,0,0,-1.249227608,0,0,0,0,0,0
LOC339442,0,-1.105882442,-1.089113702,0,0,0,-1.105882442,-1.089113702,-1.38571503,-1.306345611,0,0,-2.186505999
LOC339524,0,1.059738089,0,0,0,0,1.059738089,0,0,0,0,0,1.083170902
LOC339529,0,-1.072221845,0,0,0,0,-1.072221845,0,0,0,0,0,-1.242989115
LOC339539,0,0,-1.040493366,0,0,0,0,-1.040493366,0,0,0,0,-1.100321642
LOC339666,0,0,0,0,0,0,0,0,0,1.14796134,0,0,0
LOC339685,0,1.05148312,0,0,0,0,1.05148312,0,0,0,0,0,1.084449003
LOC339788,0,0,0,0,0,0,0,0,0,-1.080511663,0,0,0
LOC339803,0,-2.195937457,0,0,0,0,-2.195937457,0,0,0,0,0,-1.710724533
LOC339807,0,-1.125809284,0,0,0,0,0,0,0,1.083211462,0,0,0
LOC339894,0,1.040737098,0,0,0,0,1.040737098,0,0,0,0,0,1.119394486
LOC339926,0,0,0,0,0,0,0,0,0,1.091364844,0,0,-1.050753042
LOC339975,0,0,0,0,0,0,0,0,0,-1.130228606,0,0,-1.170805909
LOC339988,0,-2.672664014,0,0,0,0,0,0,0,0,0,0,-3.044005856
LOC340037,0,1.118169811,0,0,0,0,1.118169811,0,0,0,0,0,1.121863368
LOC340073,0,-1.153542561,0,0,0,0,-1.153542561,0,0,0,0,0,0
LOC340074,0,1.042094369,0,0,0,0,1.042094369,0,0,0,0,0,0
LOC340090,0,0,0,0,0,0,0,0,0,-1.144666094,0,0,-1.049413688
LOC340107,0,0,0,0,0,0,0,0,0,0,0,0,1.118313239
LOC340113,0,0,0,0,0,0,0,0,1.252403438,1.28264134,0,0,0
LOC340178,0,-1.063647063,0,0,0,0,-1.063647063,0,0,0,0,0,-1.243542608
LOC340335,0,-1.449227767,0,0,0,0,0,0,1.405304993,1.308077545,0,0,-1.659388519
LOC340340,0,1.70257065,1.133605702,0,0,0,1.70257065,1.133605702,-1.287831788,-1.347835145,0,0,1.489381058
LOC340508,-2.526419768,-1.506201364,1.254331602,0,0,0,-1.506201364,1.254331602,-2.753060908,-2.54190267,0,0,-1.463530249
LOC340515,0,-2.791541512,0,0,0,0,0,-1.532317252,0,0,0,0,-1.559056722
